#chrom	chromStart	chromEnd	type	     color
chr1	0			10.0	    marcadorl	 gray
chr1	10.0	    11.0	    centromere	 gray
chr1	11.0	    37.71	    marcador1	 gray
chr2	0	        10.0	    marcador2	 gray
chr2	10.0	    11.0	    centromere	 gray
chr2	11.0	    25.38	    marcador2	 gray
chr3	0	        10.0	    marcador3	 gray
chr3	10.0	    11.0	    centromere	 gray
chr3	11.0	    38.25	    marcador3	 gray
chr4	0	        10.0	    marcador4	 gray
chr4	10.0	    11.0	    centromere	 gray
chr4	11.0	    32.87	    marcador4	 gray
chr5	0	        10.0	    marcador5	 gray
chr5	10.0	    11.0	    centromere	 gray
chr5	11.0	    33.21	    marcador5	 gray
chr6	0	        10.0	    marcador6	 gray
chr6	10.0	    11.0	    centromere	 gray
chr6	11.0	    33.25	    marcador6	 gray
chr7	0	        10.0	    marcador7	 gray
chr7	10.0	    11.0	    centromere	 gray
chr7	11.0	    34.57	    marcador7	 gray
chr8	0	        10.0	    marcador8	 gray
chr8	10.0	    11.0	    centromere	 gray
chr8	11.0	    26.24	    marcador8	 gray
chr9	0	        10.0	    marcador9	 gray
chr9	10.0	    11.0	    centromere	 gray
chr9	11.0	    33.40	    marcador9	 gray
chr10	0	        10.0	    marcadorl0	 gray
chr10	10.0	    11.0	    centromere	 gray
chr10	11.0	    31.22	    marcadorl0	 gray
chr11	0			10.0	    marcadorl1	 gray
chr11	10.0	    11.0	    centromere	 gray
chr11	11.0	    28.21	    marcador11   gray
chr12	0	        10.0	    marcador12	 gray
chr12	10.0	    11.0	    centromere	 gray
chr12	11.0	    30.54	    marcador12	 gray
chr13	0	        10.0	    marcador13	 gray
chr13	10.0	    11.0	    centromere	 gray
chr13	11.0	    33.83	    marcador13	 gray
chr14	0	        10.0	    marcador14	 gray
chr14	10.0	    11.0	    centromere	 gray
chr14	11.0	    30.60	    marcador14	 gray
chr15	0	        10.0	    marcador15	 gray
chr15	10.0	    11.0	    centromere	 gray
chr15	11.0	    30.48	    marcador15	 gray
chr16	0	        10.0	    marcador16	 gray
chr16	10.0	    11.0	    centromere	 gray 
chr16	11.0	    32.96	    marcador16	 gray
chr17	0	        10.0	    marcador17	 gray
chr17	10.0	    11.0	    centromere	 gray
chr17	11.0	    31.79	    marcador17	 gray
chr18	0	        10.0	    marcador18	 gray
chr18	10.0	    11.0	    centromere	 gray
chr18	11.0	    30.92	    marcador18	 gray
chr19	0	        10.0	    marcador19	 gray
chr19	10.0	    11.0	    centromere	 gray
chr19	11.0	    25.47	    marcador19	 gray
