#chrom	chromStart	chromEnd	name	color
chr1	0			10000000	cromol	cinza
chr1	10000000	11000000	cromo1	vermelho
chr1	11000000	37710000	cromo1	cinza
chr2	0	        10000000	cromo2	cinza
chr2	10000000	11000000	cromo2	vermelho
chr2	11000000	25380000	cromo2	cinza
chr3	0	        10000000	cromo3	cinza
chr3	10000000	11000000	cromo3	vermelho
chr3	11000000	38250000	cromo3	cinza
chr4	0	        10000000	cromo4	cinza
chr4	10000000	11000000	cromo4	vermelho
chr4	11000000	32870000	cromo4	cinza
chr5	0	        10000000	cromo5	cinza
chr5	10000000	11000000	cromo5	vermelho
chr5	11000000	33210000	cromo5	cinza
chr6	0	        10000000	cromo6	cinza
chr6	10000000	11000000	cromo6	vermelho
chr6	11000000	33250000	cromo6	cinza
chr7	0	        10000000	cromo7	cinza
chr7	10000000	11000000	cromo7	vermelho
chr7	11000000	34570000	cromo7	cinza
chr8	0	        10000000	cromo8	cinza
chr8	10000000	11000000	cromo8	vermelho
chr8	11000000	26240000	cromo8	cinza
chr9	0	        10000000	cromo9	cinza
chr9	10000000	11000000	cromo9	vermelho
chr9	11000000	33400000	cromo9	cinza
chr10	0	        10000000	cromol0	cinza
chr10	10000000	11000000	cromol0	vermelho
chr10	11000000	31220000	cromol0	cinza
chr11	0			10000000	cromol1	cinza
chr11	10000000	11000000	cromo11	vermelho
chr11	11000000	28210000	cromo11	cinza
chr12	0	        10000000	cromo12	cinza
chr12	10000000	11000000	cromo12	vermelho
chr12	11000000	30540000	cromo12	cinza
chr13	0	        10000000	cromo13	cinza
chr13	10000000	11000000	cromo13	vermelho
chr13	11000000	33830000	cromo13	cinza
chr14	0	        10000000	cromo14	cinza
chr14	10000000	11000000	cromo14	vermelho
chr14	11000000	30600000	cromo14	cinza
chr15	0	        10000000	cromo15	cinza
chr15	10000000	11000000	cromo15	vermelho
chr15	11000000	30480000	cromo15	cinza
chr16	0	        10000000	cromo16	cinza
chr16	10000000	11000000	cromo16	vermelho
chr16	11000000	32960000	cromo16	cinza
chr17	0	        10000000	cromo17	cinza
chr17	10000000	11000000	cromo17	vermelho
chr17	11000000	31790000	cromo17	cinza
chr18	0	        10000000	cromo18	cinza
chr18	10000000	11000000	cromo18	vermelho
chr18	11000000	30920000	cromo18	cinza
chr19	0	        10000000	cromo19	cinza
chr19	10000000	11000000	cromo19	vermelho
chr19	11000000	25470000	cromo19	cinza
chr20	0	        10000000	cromo20	cinza
chr20	10000000	11000000	cromo20	vermelho
chr20	11000000	25940000	cromo20	cinza
chr21	0	        10000000	cromo21	cinza
chr21	10000000	11000000	cromo21	vermelho
chr21	11000000	31150000	cromo21	cinza
chr22	0	        10000000	cromo22	cinza
chr22	10000000	11000000	cromo22	vermelho
chr22	11000000	28980000	cromo22	cinza
chr23	0	        10000000	cromo23	cinza
chr23	10000000	11000000	cromo23	vermelho
chr23	11000000	24400000	cromo23	cinza
chr24	0	        10000000	cromo24	cinza
chr24	10000000	11000000	cromo24	vermelho
chr24	11000000	23680000	cromo24	cinza
