#chrom	chromStart	chromEnd	type	color
chr1	0			10000000	marcadorl	gray
chr1	10000000	11000000	centromere	gray
chr1	11000000	37710000	marcador1	gray
chr2	0	        10000000	marcador2	gray
chr2	10000000	11000000	centromere	gray
chr2	11000000	25380000	marcador2	gray
chr3	0	        10000000	marcador3	gray
chr3	10000000	11000000	centromere	gray
chr3	11000000	38250000	marcador3	gray
chr4	0	        10000000	marcador4	gray
chr4	10000000	11000000	centromere	gray
chr4	11000000	32870000	marcador4	gray
chr5	0	        10000000	marcador5	gray
chr5	10000000	11000000	centromere	gray
chr5	11000000	33210000	marcador5	gray
chr6	0	        10000000	marcador6	gray
chr6	10000000	11000000	centromere	gray
chr6	11000000	33250000	marcador6	gray
chr7	0	        10000000	marcador7	gray
chr7	10000000	11000000	centromere	gray
chr7	11000000	34570000	marcador7	gray
chr8	0	        10000000	marcador8	gray
chr8	10000000	11000000	centromere	gray
chr8	11000000	26240000	marcador8	gray
chr9	0	        10000000	marcador9	gray
chr9	10000000	11000000	centromere	gray
chr9	11000000	33400000	marcador9	gray
chr10	0	        10000000	marcadorl0	gray
chr10	10000000	11000000	centromere	gray
chr10	11000000	31220000	marcadorl0	gray
chr11	0			10000000	marcadorl1	gray
chr11	10000000	11000000	centromere	gray
chr11	11000000	28210000	marcador11	gray
chr12	0	        10000000	marcador12	gray
chr12	10000000	11000000	centromere	gray
chr12	11000000	30540000	marcador12	gray
chr13	0	        10000000	marcador13	gray
chr13	10000000	11000000	centromere	gray
chr13	11000000	33830000	marcador13	gray
chr14	0	        10000000	marcador14	gray
chr14	10000000	11000000	centromere	gray
chr14	11000000	30600000	marcador14	gray
chr15	0	        10000000	marcador15	gray
chr15	10000000	11000000	centromere	gray
chr15	11000000	30480000	marcador15	gray
chr16	0	        10000000	marcador16	gray
chr16	10000000	11000000	centromere	gray
chr16	11000000	32960000	marcador16	gray
chr17	0	        10000000	marcador17	gray
chr17	10000000	11000000	centromere	gray
chr17	11000000	31790000	marcador17	gray
chr18	0	        10000000	marcador18	gray
chr18	10000000	11000000	centromere	gray
chr18	11000000	30920000	marcador18	gray
chr19	0	        10000000	marcador19	gray
chr19	10000000	11000000	centromere	gray
chr19	11000000	25470000	marcador19	gray
chr20	0	        10000000	marcador20	gray
chr20	10000000	11000000	centromere	gray
chr20	11000000	25940000	marcador20	gray
chr21	0	        10000000	marcador21	gray
chr21	10000000	11000000	centromere	gray
chr21	11000000	31150000	marcador21	gray
chr22	0	        10000000	marcador22	gray
chr22	10000000	11000000	centromere	gray
chr22	11000000	28980000	marcador22	gray
chr23	0	        10000000	marcador23	gray
chr23	10000000	11000000	centromere	gray
chr23	11000000	24400000	marcador23	gray
chr24	0	        10000000	marcador24	gray
chr24	10000000	11000000	centromere	gray
chr24	11000000	23680000	marcador24	gray
